Date,Confirmed,Deaths,Recovered
22/01/2020,0,0,0
23/01/2020,0,0,0
24/01/2020,0,0,0
25/01/2020,0,0,0
26/01/2020,0,0,0
27/01/2020,0,0,0
28/01/2020,0,0,0
29/01/2020,0,0,0
30/01/2020,0,0,0
31/01/2020,0,0,0
01/02/2020,0,0,0
02/02/2020,0,0,0
03/02/2020,0,0,0
04/02/2020,0,0,0
05/02/2020,0,0,0
06/02/2020,0,0,0
07/02/2020,0,0,0
08/02/2020,0,0,0
09/02/2020,0,0,0
10/02/2020,0,0,0
11/02/2020,0,0,0
12/02/2020,0,0,0
13/02/2020,0,0,0
14/02/2020,1,0,0
15/02/2020,1,0,0
16/02/2020,1,0,0
17/02/2020,1,0,0
18/02/2020,1,0,0
19/02/2020,1,0,0
20/02/2020,1,0,0
21/02/2020,1,0,0
22/02/2020,1,0,0
23/02/2020,1,0,0
24/02/2020,1,0,0
25/02/2020,1,0,0
26/02/2020,1,0,0
27/02/2020,1,0,0
28/02/2020,1,0,1
29/02/2020,1,0,1
01/03/2020,2,0,1
02/03/2020,2,0,1
03/03/2020,2,0,1
04/03/2020,2,0,1
05/03/2020,3,0,1
06/03/2020,15,0,1
07/03/2020,15,0,1
08/03/2020,49,1,1
09/03/2020,55,1,1
10/03/2020,59,1,1
11/03/2020,60,1,27
12/03/2020,67,1,27
13/03/2020,80,2,27
14/03/2020,109,2,27
15/03/2020,110,2,21
16/03/2020,150,2,27
17/03/2020,196,4,32
18/03/2020,196,6,32
19/03/2020,256,6,32
20/03/2020,285,8,39
21/03/2020,294,10,41
22/03/2020,327,14,56
23/03/2020,366,19,56
24/03/2020,402,20,80
25/03/2020,456,21,95
26/03/2020,495,24,102
27/03/2020,536,30,116
28/03/2020,576,36,121
29/03/2020,609,40,132
30/03/2020,656,41,150
31/03/2020,710,46,157
01/04/2020,779,52,179
02/04/2020,865,58,201
03/04/2020,985,66,216
04/04/2020,1070,71,241
05/04/2020,1173,78,247
06/04/2020,1322,85,259
07/04/2020,1450,94,276
08/04/2020,1560,103,305
09/04/2020,1699,118,348
10/04/2020,1794,135,384
11/04/2020,1939,146,426
12/04/2020,2065,159,589
13/04/2020,2190,164,589
14/04/2020,2350,178,589
15/04/2020,2505,183,589
16/04/2020,2673,196,596
17/04/2020,2844,205,646
18/04/2020,3032,224,701
19/04/2020,3144,239,732
20/04/2020,3333,250,821
21/04/2020,3490,264,870
22/04/2020,3659,276,935
23/04/2020,3891,287,1004
24/04/2020,4092,294,1075
25/04/2020,4319,307,1114
26/04/2020,4534,317,1176
27/04/2020,4782,337,1236
28/04/2020,5042,359,1304
29/04/2020,5268,380,1335
30/04/2020,5537,392,1381
01/05/2020,5895,406,1460
02/05/2020,6193,415,1522
03/05/2020,6465,429,1562
04/05/2020,6813,436,1632
05/05/2020,7201,452,1730
06/05/2020,7588,469,1815
07/05/2020,7981,482,1887
08/05/2020,8476,503,1945
09/05/2020,8964,514,2002
10/05/2020,9400,525,2075
11/05/2020,9746,533,2172
12/05/2020,10093,544,2326
13/05/2020,10431,556,2486
14/05/2020,10829,571,2626
15/05/2020,11228,592,2799
16/05/2020,11719,612,2950
17/05/2020,12229,630,3172
18/05/2020,12764,645,3440
19/05/2020,13484,659,3742
20/05/2020,14229,680,3994
21/05/2020,15003,696,4217
22/05/2020,15786,707,4374
23/05/2020,16513,735,4628
24/05/2020,17265,764,4807
25/05/2020,17967,783,4900
26/05/2020,18756,797,5027
27/05/2020,19666,816,5205
28/05/2020,20793,845,5359
29/05/2020,22082,879,5511
30/05/2020,23449,913,5693
31/05/2020,24985,959,6037
01/06/2020,26384,1005,6447
02/06/2020,27536,1052,6827
03/06/2020,28615,1088,7350
04/06/2020,29767,1126,7756
05/06/2020,31115,1166,8158
06/06/2020,32612,1198,8538
07/06/2020,34079,1237,8961
08/06/2020,35444,1271,9375
09/06/2020,36829,1306,9786
10/06/2020,38284,1342,10289
11/06/2020,39726,1377,10691
12/06/2020,41303,1422,11108
13/06/2020,42980,1484,11529
14/06/2020,44598,1575,11931
15/06/2020,46289,1672,12329
16/06/2020,47856,1766,12730
17/06/2020,49219,1850,13141
18/06/2020,50437,1938,13528
19/06/2020,52211,2017,13928
20/06/2020,53758,2106,14327
21/06/2020,55233,2193,14736
22/06/2020,56809,2278,15133
23/06/2020,58141,2365,15535
24/06/2020,59561,2450,15935
25/06/2020,61130,2533,16338
26/06/2020,62755,2620,16737
27/06/2020,63923,2708,17140
28/06/2020,65188,2789,17539
29/06/2020,66754,2872,17951
30/06/2020,68311,2953,18460
01/07/2020,69814,3034,18881
02/07/2020,71299,3120,19288
03/07/2020,72711,3201,19690
04/07/2020,74035,3280,20103
